Role,Usage Frequency,Inventory Method,Challenges,Ease of Use (1-5),Interface Clarity,Task Speed,Improved Tracking,Reduced Errors,Reliability,Useful Features,Low Stock Alert Helpful,Report Usefulness,Satisfaction (1-5),Recommend
Store Owner,Weekly,Spreadsheet,"No reports, Stock errors, Tracking issues",1,Average,Slow,Disagree,Agree,Unreliable,"Low-stock alerts, Product registration, Inventory updates",No,Useful,5,No
Employee,Never,Software,No reports,5,Average,Very Fast,Neutral,Agree,Reliable,"Product registration, Inventory updates",No,Useful,4,Yes
Manager,Occasionally,Spreadsheet,No reports,5,Average,Average,Neutral,Agree,Neutral,"Inventory updates, Sales tracking",Not sure,Useful,3,Yes
Customer,Never,Not sure,Time-consuming,4,Average,Slow,Neutral,Neutral,Neutral,"Reports, Sales tracking, Product registration",Not sure,Neutral,4,No
Store Owner,Never,Software,"No reports, Data loss, Stock errors",4,Clear,Very Fast,Disagree,Strongly Agree,Reliable,"Reports, Low-stock alerts, Inventory updates",Yes,Very Useful,1,No
Customer,Daily,Software,"No reports, Data loss",4,Very Clear,Fast,Neutral,Agree,Very Reliable,Inventory updates,Yes,Very Useful,4,No
Manager,Daily,Not sure,"Time-consuming, Stock errors",2,Average,Very Fast,Strongly Agree,Disagree,Unreliable,Reports,Yes,Useful,2,Yes
Employee,Daily,Manual,"No reports, Stock errors, Time-consuming",3,Average,Fast,Agree,Strongly Agree,Very Reliable,Reports,No,Useful,1,No
Manager,Occasionally,Not sure,"Stock errors, Tracking issues",2,Very Clear,Slow,Strongly Agree,Agree,Unreliable,"Product registration, Sales tracking",Not sure,Very Useful,1,Yes
Manager,Occasionally,Manual,"Stock errors, No reports, Tracking issues",5,Very Clear,Fast,Disagree,Strongly Agree,Very Reliable,"Product registration, Inventory updates, Sales tracking",Yes,Very Useful,2,No
Manager,Occasionally,Software,"Data loss, Time-consuming",4,Confusing,Slow,Neutral,Neutral,Neutral,Product registration,Not sure,Useful,5,Yes
Manager,Occasionally,Software,"Time-consuming, Data loss, Tracking issues",2,Confusing,Very Fast,Neutral,Strongly Agree,Very Reliable,"Sales tracking, Product registration",Yes,Not Useful,1,Yes
Employee,Never,Not sure,"Tracking issues, Time-consuming",2,Very Clear,Very Fast,Disagree,Disagree,Very Reliable,"Inventory updates, Reports",Not sure,Useful,1,Yes
Manager,Daily,Software,"Time-consuming, No reports, Tracking issues",5,Very Clear,Fast,Neutral,Agree,Very Reliable,Reports,No,Not Useful,1,No
Store Owner,Daily,Not sure,"Stock errors, Time-consuming",3,Very Clear,Average,Neutral,Disagree,Unreliable,Sales tracking,Yes,Not Useful,5,No
Manager,Daily,Not sure,"Tracking issues, No reports, Time-consuming",1,Confusing,Average,Disagree,Strongly Agree,Unreliable,"Inventory updates, Reports, Sales tracking",No,Neutral,3,Yes
Employee,Never,Spreadsheet,"Time-consuming, Tracking issues",4,Very Clear,Average,Disagree,Disagree,Very Reliable,"Low-stock alerts, Product registration",No,Neutral,1,No
Customer,Never,Manual,"Time-consuming, No reports, Stock errors",2,Confusing,Very Fast,Neutral,Strongly Agree,Unreliable,"Inventory updates, Low-stock alerts",Yes,Useful,1,Yes
